company,date,pos_prob,neut_prob,neg_prob,Sent_d
Asda,2024-06-07,0.138,0.765,0.097,0.010250000000000002
Asda,2024-07-08,0.17300000000000001,0.8180000000000001,0.009000000000000001,0.06559999999999999
Asda,2024-07-23,0.097,0.624,0.279,-0.045500000000000006
Asda,2024-07-24,0.163,0.794,0.043,0.048
Asda,2024-07-26,0.097,0.608,0.295,-0.049499999999999995
Ford,2024-05-02,0.18381618381618378,0.7942057942057942,0.021978021978021973,0.06477409036385445
Ford,2024-06-19,0.18566666666666665,0.7306666666666667,0.08366666666666667,0.05099999999999999
Ford,2024-06-20,0.20600000000000002,0.7210000000000001,0.07300000000000001,0.03325
Ford,2024-06-21,0.18215892053973015,0.7401299350324837,0.07771114442778611,0.05969722936303913
Ford,2024-06-24,0.18170457385653585,0.7405648587853036,0.07773056735816045,0.05942008284530781
Ford,2024-06-25,0.182,0.74025,0.07775,0.05957142857142857
Ford,2024-06-26,0.18365817091454273,0.7416291854072964,0.07471264367816093,0.062267923450442735
Ford,2024-06-28,0.18245438640339917,0.7430642339415147,0.07448137965508624,0.061705470647050426
Ford,2024-06-30,0.18295426143464133,0.7423144213946512,0.07473131717070731,0.06184830738465933
Ford,2024-07-02,0.18972990996998998,0.7542514171390463,0.056018672890963656,0.06684447407901314
Ford,2024-07-03,0.18099999999999997,0.7393333333333333,0.07966666666666668,0.05066666666666666
Ford,2024-07-04,0.1807269089696566,0.7395798599533179,0.0796932310770257,0.05050841806967829
Ford,2024-07-05,0.18106035345115037,0.739246415471824,0.0796932310770257,0.05067511251875312
Ford,2024-07-07,0.19747531558555184,0.7401574803149606,0.062367204099487566,0.09826379420052722
Ford,2024-07-08,0.18429607401850462,0.7489372343085772,0.06676669167291824,0.08547008547008546
Ford,2024-07-09,0.18460192475940507,0.7485314335708037,0.06686664166979128,0.08562857922007089
Ford,2024-07-10,0.18417104276069018,0.7490622655663917,0.06676669167291824,0.08537915984724494
Ford,2024-07-14,0.167,0.7470000000000001,0.08600000000000002,0.04628571428571427
Ford,2024-07-15,0.19069844974162356,0.7629604934155692,0.046341056842807135,0.09623291476830757
Ford,2024-07-16,0.18719519819932473,0.7200200075028136,0.0927847942978617,0.06865508775120487
Ford,2024-07-17,0.19192053863075795,0.7307512832477835,0.07732817812145858,0.09549469473918117
Ford,2024-07-18,0.18837100753484032,0.7337467493498699,0.07788224311528974,0.09207090070567317
Ford,2024-07-19,0.1967590277083125,0.7290187056116836,0.074222266680004,0.09425251981226437
Ford,2024-07-21,0.181,0.7376,0.0814,0.07661538461538461
Ford,2024-07-23,0.1899324943745312,0.727810650887574,0.08225685473789483,0.08613907593839588
Ford,2024-07-24,0.198763411529369,0.7152209492635024,0.08601563920712858,0.08858408344049148
Ford,2024-07-25,0.1599437587876894,0.744977347289486,0.09507889392282455,0.059305813455220666
Ford,2024-07-26,0.14456373013367013,0.7578675928849595,0.0975686769813704,0.04058721934369602
Ford,2024-07-27,0.191,0.752,0.057,0.0335
Ford,2024-07-28,0.1703389538291783,0.7566290817558016,0.07303196441502016,0.08818474422674291
Ford,2024-07-29,0.1395612455824498,0.8002933920117358,0.0601453624058145,0.06617769628271378
Marks & Spencer,2024-05-22,0.25825825825825827,0.7317317317317317,0.01001001001001001,0.06201550387596899
Marks & Spencer,2024-05-29,0.2092092092092092,0.7697697697697697,0.021021021021021023,0.047011752938234556
Marks & Spencer,2024-05-30,0.12800000000000003,0.8495,0.022500000000000003,0.0422
Marks & Spencer,2024-06-02,0.14214214214214213,0.7727727727727728,0.0850850850850851,0.014253563390847707
Marks & Spencer,2024-06-03,0.16666666666666666,0.778,0.055333333333333325,0.05566666666666667
Marks & Spencer,2024-06-06,0.174,0.8,0.026,0.037
Marks & Spencer,2024-06-10,0.283,0.703,0.014,0.06724999999999999
Marks & Spencer,2024-06-13,0.164,0.775,0.061,0.025750000000000002
Marks & Spencer,2024-06-14,0.142,0.837,0.021,0.030249999999999996
Marks & Spencer,2024-06-18,0.1858141858141858,0.7382617382617381,0.07592407592407592,0.027493126718320417
Marks & Spencer,2024-06-20,0.251,0.735,0.014,0.05925
Marks & Spencer,2024-06-21,0.1585,0.8055,0.036,0.06999999999999999
Marks & Spencer,2024-06-25,0.15084915084915085,0.8341658341658342,0.014985014985014986,0.03399150212446889
Marks & Spencer,2024-06-26,0.224,0.728,0.048,0.044
Marks & Spencer,2024-06-27,0.16649999999999998,0.8125,0.021,0.058199999999999995
Marks & Spencer,2024-06-28,0.14164164164164167,0.8408408408408408,0.017517517517517515,0.049619847939175676
Marks & Spencer,2024-06-29,0.149,0.843,0.008,0.03525
Marks & Spencer,2024-07-01,0.2031015507753877,0.7668834417208603,0.030015007503751873,0.0692138427685537
Marks & Spencer,2024-07-02,0.10772727272727273,0.8491818181818181,0.04309090909090909,0.05078571428571429
Marks & Spencer,2024-07-03,0.20089955022488754,0.7836081959020489,0.015492253873063466,0.07418516296740651
Marks & Spencer,2024-07-04,0.152,0.804,0.044,0.061714285714285715
Marks & Spencer,2024-07-08,0.1645,0.7895,0.046,0.047400000000000005
Marks & Spencer,2024-07-12,0.104,0.896,0.0,0.026
Marks & Spencer,2024-07-13,0.0,0.921,0.079,-0.01975
Marks & Spencer,2024-07-16,0.1845,0.768,0.0475,0.07828571428571429
Marks & Spencer,2024-07-18,0.24,0.748,0.012,0.056999999999999995
Marks & Spencer,2024-07-19,0.28800000000000003,0.6990000000000001,0.013000000000000001,0.06874999999999999
Marks & Spencer,2024-07-23,0.204,0.78,0.016,0.047
