company,date,week_number,open_pct_change
Asda,2024-04-01,14,
Asda,2024-04-08,15,-0.23554499325177503
Asda,2024-04-15,16,0.30924359269459023
Asda,2024-04-22,17,-0.3150928055737401
Asda,2024-04-29,18,0.21629784822559728
Asda,2024-05-06,19,-0.055585373274396055
Asda,2024-05-13,20,0.20701516632682937
Asda,2024-05-20,21,1.2687434593903557
Asda,2024-05-27,22,0.2747810550032731
Asda,2024-06-03,23,0.11880209795516405
Asda,2024-06-10,24,0.5086273715734113
Asda,2024-06-17,25,-0.07924453386577879
Asda,2024-06-24,26,0.42261358665010573
Asda,2024-07-01,27,-0.043166660812457014
Asda,2024-07-08,28,0.73869096112269
Asda,2024-07-15,29,-0.17141949012218882
Asda,2024-07-22,30,0.44732163338977005
Asda,2024-07-29,31,-0.286228898169012
Asda,2024-08-05,32,-0.5011271426992647
Asda,2024-08-12,33,0.07561510437303687
Asda,2024-08-19,34,2.838264550314177
Ford,2024-04-01,14,
Ford,2024-04-08,15,0.06940853028347452
Ford,2024-04-15,16,-0.9192051152325021
Ford,2024-04-22,17,-0.6576079792909751
Ford,2024-04-29,18,0.8328807281143537
Ford,2024-05-06,19,-0.40267578267417115
Ford,2024-05-13,20,-0.7882825187175935
Ford,2024-05-20,21,0.37672462872836654
Ford,2024-05-27,22,-0.22283030285984162
Ford,2024-06-03,23,0.18700925587759035
Ford,2024-06-10,24,-0.19334681889172423
Ford,2024-06-17,25,-0.7782593813274263
Ford,2024-06-24,26,0.5785887556660846
Ford,2024-07-01,27,1.0433845460108437
Ford,2024-07-08,28,0.8097943009341302
Ford,2024-07-15,29,1.860283361626902
Ford,2024-07-22,30,-0.25576639247054
Ford,2024-07-29,31,-4.2769579971200375
Ford,2024-08-05,32,-3.0242661867941667
Ford,2024-08-12,33,1.1133338717469954
Ford,2024-08-19,34,0.9013685849153852
Marks & Spencer,2024-04-08,15,-0.5437897126818803
Marks & Spencer,2024-04-15,16,-0.381552779257861
Marks & Spencer,2024-04-22,17,-0.14922599657408053
Marks & Spencer,2024-04-29,18,0.6836793482268799
Marks & Spencer,2024-05-06,19,-0.8767518223132126
Marks & Spencer,2024-05-13,20,1.3452297659080914
Marks & Spencer,2024-05-20,21,0.5286219831385042
Marks & Spencer,2024-05-27,22,0.9804862480751214
Marks & Spencer,2024-06-03,23,1.1533679058029978
Marks & Spencer,2024-06-10,24,0.15882718458965606
Marks & Spencer,2024-06-17,25,-0.6031236151822615
Marks & Spencer,2024-06-24,26,0.5076699314505873
Marks & Spencer,2024-07-01,27,-1.1105549903661815
Marks & Spencer,2024-07-08,28,0.44449456909025686
Marks & Spencer,2024-07-15,29,1.1166269500102666
Marks & Spencer,2024-07-22,30,0.6097418511676911
Marks & Spencer,2024-07-29,31,0.4688880763327119
Marks & Spencer,2024-08-05,32,-1.092099024420794
Marks & Spencer,2024-08-12,33,0.746353959986672
Marks & Spencer,2024-08-19,34,0.6161219517510327
Ocado,2024-04-08,15,-4.355417026285114
Ocado,2024-04-15,16,-1.2243049639421133
Ocado,2024-04-22,17,0.08796391111529855
Ocado,2024-04-29,18,0.12648500736319077
Ocado,2024-05-06,19,-0.33295422344511716
Ocado,2024-05-13,20,-0.18460656553445975
Ocado,2024-05-20,21,0.7671196451331519
Ocado,2024-05-27,22,-1.216749280149293
Ocado,2024-06-03,23,2.193359949610047
Ocado,2024-06-10,24,-1.1308808155432115
Ocado,2024-06-17,25,0.46852351861050856
Ocado,2024-06-24,26,-3.1850008041980993
Ocado,2024-07-01,27,-1.0670569141506678
Ocado,2024-07-08,28,2.5797211601590453
Ocado,2024-07-15,29,3.0722845453567293
Ocado,2024-07-22,30,0.9010075305442624
Ocado,2024-07-29,31,2.406414227845046
Ocado,2024-08-05,32,-3.007331651918677
Ocado,2024-08-12,33,-0.2746830170378024
Ocado,2024-08-19,34,0.24097503427197298
Polestar,2024-04-01,14,
Polestar,2024-04-08,15,-0.3457862473235851
Polestar,2024-04-15,16,-2.6806209852066925
Polestar,2024-04-22,17,-0.10922991641875823
Polestar,2024-04-29,18,-1.8250917789014998
Polestar,2024-05-06,19,2.1633274235577415
Polestar,2024-05-13,20,-0.5303567791261865
Polestar,2024-05-20,21,-1.6478380787875402
Polestar,2024-05-27,22,-9.502056243522365
Polestar,2024-06-03,23,0.9869197956118112
Polestar,2024-06-10,24,-1.0228241984764797
Polestar,2024-06-17,25,-1.8422170126980688
Polestar,2024-06-24,26,0.5162635781090806
Polestar,2024-07-01,27,2.296382592382571
Polestar,2024-07-08,28,5.863620722956259
Polestar,2024-07-15,29,0.3848308582688807
Polestar,2024-07-22,30,-2.236653989120765
Polestar,2024-07-29,31,-3.146631388037926
Polestar,2024-08-05,32,-3.4269337111455678
Polestar,2024-08-12,33,0.8638762607917115
Polestar,2024-08-19,34,3.954492395371988
Sainsburys,2024-04-08,15,-0.06608722716485993
Sainsburys,2024-04-15,16,-0.5498087687123143
Sainsburys,2024-04-22,17,0.669791476381536
Sainsburys,2024-04-29,18,-0.28771665394437207
Sainsburys,2024-05-06,19,0.41056382167689864
Sainsburys,2024-05-13,20,0.6812536844924377
Sainsburys,2024-05-20,21,0.5738709724061475
Sainsburys,2024-05-27,22,-0.7423080080349059
Sainsburys,2024-06-03,23,0.3605400849207663
Sainsburys,2024-06-10,24,-1.3633914103680713
Sainsburys,2024-06-17,25,-0.09838135887398458
Sainsburys,2024-06-24,26,0.08042994208790955
Sainsburys,2024-07-01,27,-0.338753171298789
Sainsburys,2024-07-08,28,-0.17586157842429673
Sainsburys,2024-07-15,29,0.8767069259418925
Sainsburys,2024-07-22,30,0.6324442706361055
Sainsburys,2024-07-29,31,0.21248197123549195
Sainsburys,2024-08-05,32,-0.5751750407357137
Sainsburys,2024-08-12,33,0.1835563552973385
Sainsburys,2024-08-19,34,1.1956540028186284
Stellantis,2024-04-08,15,-1.663480116695823
Stellantis,2024-04-15,16,0.08887595519618374
Stellantis,2024-04-22,17,-1.3181183955017195
Stellantis,2024-04-29,18,0.17991407376362956
Stellantis,2024-05-06,19,-3.128298622776107
Stellantis,2024-05-13,20,-0.04331949684435621
Stellantis,2024-05-20,21,0.46620063549732915
Stellantis,2024-05-27,22,-0.17813889969064745
Stellantis,2024-06-03,23,-0.0979794923295163
Stellantis,2024-06-10,24,-0.710144701434352
Stellantis,2024-06-17,25,-0.8399101612170323
Stellantis,2024-06-24,26,0.14195551556673847
Stellantis,2024-07-01,27,-0.24342542897740627
Stellantis,2024-07-08,28,-0.9263679501641352
Stellantis,2024-07-15,29,0.6970284648274316
Stellantis,2024-07-22,30,0.02596416910288335
Stellantis,2024-07-29,31,-2.665756357537334
Stellantis,2024-08-05,32,-2.678878551249324
Stellantis,2024-08-12,33,-0.06977376861098561
Stellantis,2024-08-19,34,-0.12238328980152535
Tesco,2024-04-08,15,-0.6114844197398134
Tesco,2024-04-15,16,-0.527065756408982
Tesco,2024-04-22,17,0.31151951410542056
Tesco,2024-04-29,18,0.3072114853994634
Tesco,2024-05-06,19,0.9137378605302504
Tesco,2024-05-13,20,0.5959536827629597
Tesco,2024-05-20,21,0.15127895579432282
Tesco,2024-05-27,22,-0.26608622141609806
Tesco,2024-06-03,23,0.4155396282306545
Tesco,2024-06-10,24,-0.5429587942636904
Tesco,2024-06-17,25,0.48490184636380995
Tesco,2024-06-24,26,-0.31220359897777605
Tesco,2024-07-01,27,0.002143929480766804
Tesco,2024-07-08,28,0.20545105310870504
Tesco,2024-07-15,29,0.3972272854276859
Tesco,2024-07-22,30,0.5879333622857907
Tesco,2024-07-29,31,0.19908708927220742
Tesco,2024-08-05,32,-0.5352400643047184
Tesco,2024-08-12,33,0.6490844705298215
Tesco,2024-08-19,34,0.9759512957348079
Tesla,2024-04-01,14,
Tesla,2024-04-08,15,-0.7330471799586524
Tesla,2024-04-15,16,0.11199428729394612
Tesla,2024-04-22,17,-3.7124600164629507
Tesla,2024-04-29,18,6.2023571932803945
Tesla,2024-05-06,19,-0.48743491572528885
Tesla,2024-05-13,20,-1.5155083669217406
Tesla,2024-05-20,21,0.9024549706734387
Tesla,2024-05-27,22,-0.34445392977567324
Tesla,2024-06-03,23,0.3820758495806964
Tesla,2024-06-10,24,-0.2291264379502267
Tesla,2024-06-17,25,0.33019509644076434
Tesla,2024-06-24,26,1.0060748888999937
Tesla,2024-07-01,27,1.6919141940994884
Tesla,2024-07-08,28,5.4273513831302855
Tesla,2024-07-15,29,0.8658238257460127
Tesla,2024-07-22,30,-0.9352668707533285
Tesla,2024-07-29,31,-1.4777420507562766
Tesla,2024-08-05,32,-3.625226323164892
Tesla,2024-08-12,33,1.5117772563530685
Tesla,2024-08-19,34,1.025084468116914
Toyota,2024-04-01,14,
Toyota,2024-04-08,15,0.05655599058947747
Toyota,2024-04-15,16,0.19328864957651515
Toyota,2024-04-22,17,-1.460956732409997
Toyota,2024-04-29,18,0.009472632127305225
Toyota,2024-05-06,19,0.49001581056110854
Toyota,2024-05-13,20,-1.4518363804001244
Toyota,2024-05-20,21,0.29778036022092724
Toyota,2024-05-27,22,-0.47972927967229184
Toyota,2024-06-03,23,-0.34342681782316253
Toyota,2024-06-10,24,-0.4510165367916841
Toyota,2024-06-17,25,-1.40866125224278
Toyota,2024-06-24,26,0.5552583684477225
