company,date,esg_sent_d,greenwashing_sent_d
Toyota,2024-05-28,0.0426042604260426,0.0654945421214898
Toyota,2024-05-29,0.0755,0.03625
Toyota,2024-06-03,0.0305,-0.0321999999999999
Toyota,2024-06-04,0.0584249694546262,0.0389870043318893
Toyota,2024-06-11,0.045,-0.002
Toyota,2024-06-12,0.0641666666666666,0.0379936677220463
Toyota,2024-06-18,0.00425,-0.01575
Toyota,2024-07-09,0.0206,0.0206
Toyota,2024-07-24,0.0196647938291591,0.0018336389398233
Toyota,2024-07-25,0.0256440782894423,0.0317167571499077
Toyota,2024-07-26,0.0404551201011377,0.0423085396647855
Toyota,2024-07-27,0.0642844153482451,0.0597894736842105
Toyota,2024-07-28,0.0357424856556298,0.0331802695896904
Toyota,2024-07-29,0.0223219475899272,0.0274350740803335
