company,date,Sent_d,daily_return
Asda,2024-06-07,0.010250000000000002,-0.019094017659807175
Asda,2024-07-08,0.06559999999999999,-0.005153174873403763
Asda,2024-07-23,-0.045500000000000006,0.0038289772370974726
Asda,2024-07-24,0.048,-0.000707964631340239
Asda,2024-07-26,-0.049499999999999995,-0.003433479767891519
Ford,2024-05-02,0.06477409036385445,0.02349237239827558
Ford,2024-06-20,0.03325,0.013490929741015288
Ford,2024-06-21,0.05969722936303913,-0.008410478508596404
Ford,2024-06-24,0.05942008284530781,0.032408320243221427
Ford,2024-06-25,0.05957142857142857,-0.01151328507237978
Ford,2024-06-26,0.062267923450442735,0.0016528929382995943
Ford,2024-06-28,0.061705470647050426,0.02503158550569355
Ford,2024-07-02,0.06684447407901314,0.008583743691391435
Ford,2024-07-03,0.05066666666666666,0.0
Ford,2024-07-05,0.05067511251875312,-0.0023337233462201
Ford,2024-07-08,0.08547008547008546,0.010844413014128876
Ford,2024-07-09,0.08562857922007089,-0.006182399908317539
Ford,2024-07-10,0.08537915984724494,0.020714204387563235
Ford,2024-07-15,0.09623291476830757,0.014154517987391417
Ford,2024-07-16,0.06865508775120487,0.01118110879751552
Ford,2024-07-17,0.09549469473918117,0.006234866058293858
Ford,2024-07-18,0.09207090070567317,0.004822606659931159
Ford,2024-07-19,0.09425251981226437,-0.039963256811837294
Ford,2024-07-23,0.08613907593839588,-0.02075208638842912
Ford,2024-07-24,0.08858408344049148,-0.011636494940808704
Ford,2024-07-25,0.059305813455220666,-0.2028676937826933
Ford,2024-07-26,0.04058721934369602,0.002684565370668983
Ford,2024-07-29,0.06617769628271378,-0.01621657158924528
Marks & Spencer,2024-05-22,0.06201550387596899,0.05056256728159739
Marks & Spencer,2024-05-29,0.047011752938234556,0.002645504188424175
Marks & Spencer,2024-05-30,0.0422,0.003626178359453665
Marks & Spencer,2024-06-03,0.05566666666666667,0.013484828576497153
Marks & Spencer,2024-06-06,0.037,0.003229976968332644
Marks & Spencer,2024-06-10,0.06724999999999999,0.0009694620245481637
Marks & Spencer,2024-06-13,0.025750000000000002,-0.018024520015698407
Marks & Spencer,2024-06-14,0.030249999999999996,-0.0050650116724347055
Marks & Spencer,2024-06-18,0.027493126718320417,0.016756424229835667
Marks & Spencer,2024-06-20,0.05925,0.0023106133402798264
Marks & Spencer,2024-06-21,0.06999999999999999,-0.017628928189130998
Marks & Spencer,2024-06-25,0.03399150212446889,-0.02844118376655822
Marks & Spencer,2024-06-26,0.044,0.014493007302566824
Marks & Spencer,2024-06-27,0.058199999999999995,0.006828295564802683
Marks & Spencer,2024-06-28,0.049619847939175676,-0.025501037270077333
Marks & Spencer,2024-07-01,0.0692138427685537,0.006609869255999737
Marks & Spencer,2024-07-02,0.05078571428571429,-0.011508409492167585
Marks & Spencer,2024-07-03,0.07418516296740651,0.012894411100044837
Marks & Spencer,2024-07-04,0.061714285714285715,-0.0017328023743146206
Marks & Spencer,2024-07-08,0.047400000000000005,0.005399945622409144
Marks & Spencer,2024-07-12,0.026,0.01989953121601911
Marks & Spencer,2024-07-16,0.07828571428571429,0.03086259393606064
Marks & Spencer,2024-07-18,0.056999999999999995,0.007434978487518212
Marks & Spencer,2024-07-19,0.06874999999999999,0.029511899026320402
Marks & Spencer,2024-07-23,0.047,0.017348638334613073
Ocado,2024-05-09,0.037,0.022582065782562038
Ocado,2024-07-08,0.002250000000000002,0.05252653728713255
Ocado,2024-07-16,0.07481912828657139,0.05737056002578475
Ocado,2024-07-17,0.0635,-0.008356594590941418
Ocado,2024-07-19,-0.002000500125031256,-0.037377826325575916
Ocado,2024-07-22,0.017997428938723043,0.11481056558365779
Ocado,2024-07-23,0.0126,0.01567466880168852
Ocado,2024-07-24,0.04925,-0.046807451378400707
Ocado,2024-07-29,-0.02786666666666666,-0.030281198114472434
Polestar,2024-06-05,0.02857142857142857,0.025477412166258175
Polestar,2024-06-28,-0.007144898542440696,-0.04839053472958916
Sainsburys,2024-06-12,0.0405,-0.002337359848704927
Sainsburys,2024-07-01,0.09350000000000001,0.010920545346660872
Sainsburys,2024-07-02,-0.006800000000000006,-0.02912445127914354
Sainsburys,2024-07-16,0.043750000000000004,0.0189615085587353
Stellantis,2024-05-03,0.023250000000000003,0.0173658544198478
Stellantis,2024-05-06,-0.0175,-0.004930976460601022
Stellantis,2024-05-07,0.03380676135227046,-0.0014840467724951075
Stellantis,2024-05-13,0.004750000000000001,0.03631481099162602
Stellantis,2024-05-14,0.0808,0.020706622176081223
Stellantis,2024-05-28,-0.00525,-0.0074600273775851985
Stellantis,2024-06-10,0.010747313171707074,0.0032142443299077407
Stellantis,2024-06-11,0.037000000000000005,-0.008926416821828502
Stellantis,2024-06-13,0.10616666666666667,-0.028086098873304783
Stellantis,2024-06-18,0.026333333333333334,0.00220994565080267
Stellantis,2024-06-25,0.005499999999999995,-0.0008256786515116296
Stellantis,2024-07-11,0.0245,0.004535155165391363
Stellantis,2024-07-18,0.016573796256608084,0.01847971025035417
Stellantis,2024-07-22,0.014499999999999999,0.012300278081651687
Stellantis,2024-07-25,0.010500000000000002,-0.09086225517840088
Stellantis,2024-07-26,0.017599999999999998,-0.03094034867676899
Stellantis,2024-07-29,0.011999999999999999,-0.033846094118828475
Tesco,2024-05-03,0.049499999999999995,-0.005015894147794495
Tesco,2024-05-09,-0.010999999999999996,0.007767029337659596
Tesco,2024-05-14,0.06485714285714286,0.004150045860531417
Tesco,2024-05-15,0.024009603841536612,-0.010246647448906061
Tesco,2024-05-20,0.0010000000000000009,-0.0016095287556444585
